id,title,year,genre,description
0,The Dark Knight,2008,Action,When the menacing Joker wreaks havoc on Gotham City Batman must face his greatest psychological and moral test yet to save the city from chaos.
1,Inception,2010,Sci-Fi,A thief who enters the dreams of others to steal secrets from their subconscious is offered a chance to have his criminal record erased if he can plant an idea in a targets mind.
2,Interstellar,2014,Sci-Fi,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival as Earth faces environmental collapse.
3,The Matrix,1999,Sci-Fi,A computer hacker learns that reality as he knows it is a simulation controlled by machines and joins a rebellion to fight back.
4,Hereditary,2018,Horror,A grieving family is haunted by tragic and disturbing occurrences after the death of their secretive grandmother.
5,The Martian,2015,Sci-Fi,An astronaut stranded on Mars must rely on his ingenuity to survive while NASA devises a plan to bring him home.
6,Gravity,2013,Sci-Fi,Two astronauts work together to survive after an accident leaves them stranded in outer space with no way to contact Earth.
7,Midsommar,2019,Horror,A couple travel to Sweden for a midsummer festival that slowly reveals itself to be something deeply sinister.
8,No Country for Old Men,2007,Thriller,Violence erupts after a hunter stumbles upon a drug deal gone wrong and is pursued by a merciless assassin across Texas.
9,The Godfather,1972,Crime,An aging patriarch of a crime dynasty transfers control to his reluctant son who must protect the family from rival gangs.
10,Pulp Fiction,1994,Crime,The lives of two mob hitmen a boxer and a gangsters wife intertwine in a series of darkly comic violent tales.
11,Whiplash,2014,Drama,A promising young drummer enrolls at a cutthroat music conservatory where his dreams are stoked and threatened by an abusive instructor.
12,Arrival,2016,Sci-Fi,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
13,Memento,2000,Thriller,A man with short-term memory loss attempts to track down his wifes murderer using tattoos and Polaroid notes as his only clues.
14,Ex Machina,2014,Sci-Fi,A programmer is selected to evaluate the human qualities of a highly advanced humanoid AI created by a reclusive tech billionaire.
